Timestamp,First Sentence الجملة الأولى,Second Sentence (same meaning but different wording) الجملة الثانية المختلفة لفظا والمشابهة معنى
9/21/2023 10:30:56,عندي عشرة أخوان، بعضهم طويل، وبعضهم سمين، وواحد منهم يدرس الفلسفة لي اللغويات التطبيقية والنظرية. ,أخواني عشرة وهم مختلفون، بعضهم أقصر من بعض، وبعضهم أنحف من بعض، أحدهم يتعلم تطبيقات اللغويات، وعلومها النظرية كذلك. 
9/21/2023 10:46:09,لدي سؤال حير العلماء أبحث عن الاجابة عنه بشدة ,عندي استفسار جعل الخبراء في حيرة، إنني أتحرى حقا لإيجاد الجواب الصحيح عنه
9/21/2023 15:38:18,أنشئت مشروعًا لتحسين جودة المحتوى المعروض على مواقع التواصل الاجتماعي مستخدمة خوارزميات تعلم الالة,عملت نموذج تعلم آلي يهدف إلى فلترة محتوى الشبكات الاجتماعية لتكون أكثر ملائمة
9/23/2023 11:19:53,أذا هو منزلكم الذي نزلتم فيه أم بيت لجاركم,أهذا هو المنزل الذي تعيشون فيه أم بيت آخر في الحي
9/27/2023 10:28:39,قام المهندس عابد خولي بمبادرة ممتازة لعمل مجموعة بيانات التشابه باللغة العربية ، لا يستوي المبادرون فاللاحقون ، جزاه الله كل خير ونفع بالمبادرة,هناك مبادرة لتجميع مجموعة بيانات للجمل المتشابهة باللغة العربية ، مبادرة للمهندس المتميز النضالي عابد الخولي ، لا يستوي من حرك العربة وهي متوقفة بمن شارك بعد تحريكها ، جزا الله كل عامل لنهضة اللغة كل خير
9/27/2023 10:29:48,يوجد قسم الحاسوب بالجامعه لقد التحقت به لدراسة مجال الامن السبراني لإنه مجال ممتع,دخلت الدراسه الجامعيه تخصص علوم الحاسب و اخترت قسم الامن المعلوماتي عشان حابب ادرسه بعمق و بستمتع بدراسته
9/30/2023 2:41:43,عندما تريد ان تدرب نمودج يستعمل التعلم الالي فانك سوف تواجه صعوبة كبيرة في ايجاد قاعدة للبيانات باللغة العربية و الامر اصعب عندما تريد استعمال الدارجة,من المشاكل التي يواجهها المبرمجون في مجال الذكاء الاصطناعي هي قلة البيانات باللغة العربية و ندرتها عندما يتعلق الامر باللغة الدارجة
10/1/2023 18:56:01,كرة الطائرة هي من أكثر الرياضات شعبية في العالم، وقد شهدت اقبالا كبيرا من الاطفال على ممارستها في السنوات الاخيرة,تعتبر الكرة الطائرة من الرياضات المحبوبة عند الاطفال نظرا لشعبيتها في مختلف دول العالم
10/2/2023 10:37:38,استشرت والدي في الزواج من ابنة عمي و قد وافق علي الفكرة من حيث المبدأ و وعد بدعمي في هذا الامر,تحدثت مع الوالد عن الزواج من قريبتي و قد وعد بالمساعدة
10/2/2023 14:07:34,رأيت أن الذهاب الى الجامعة أمر مفيد,توصلت إلى أن الدراسة في الجامعة ذو منفعة على المدى الطويل
10/3/2023 8:58:50,مهنتي التدريس و التدريب تمثلان عنصرا فعالا في نقل المعرفة و نشرها,يعتبر التعليم ركيزة أساسية لتبادل العلوم و إكتساب الخبرات
10/4/2023 18:23:19,لقد قضيت وقتًا ممتعًا في رحلة التخييم مساء الأمس خاصة عند ركوب الدبابات,انبسطت بطلعة المخيم امس خاصة لما ركبنا الدباب
10/7/2023 20:04:11,والهكم اله واحد لا اله الاّ هو,لَقَد كَفَرَ الذِّينَ قاَلُوا اِنَّ اللَّهَ ثَالِثُ ثَلاَثَة وَ مَا مِن اِلَهٍ اِلاَّ اِلَهٌ وَاحِد
10/7/2023 22:01:30,بكيت حتى رويت الأرض مبتسماً,مبتهجٌ ودمعي يغرق الثرا
10/7/2023 23:14:50,لقد اكلت اليوم فول وعدس وخيارات كثيره ولله الحمد وشبعت كثيراً,الفول والعدس اكلات منتشره عند العرب، مشبعه ولذيذه ويمكن جعلها وجبة رئيسية . لقد اكلت فول وعدس على العشاء ولله الحمد
10/27/2023 10:13:56,وسائل التواصل الجماعي غيرت الكثير من المفاهيم في الحياة التي نعيشها وأصبح التواصل الحقيقي ضعيفا.,كان من نتائج وجود تطبيقات التواصل الاجتماعي تغيير في طريقة الحياة المعاصرة حتى بات التواصل المباشر يسيرا.
